,index,Job Title,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Hourly,Employer provided,Salary_Min,Salary_Max,Lower Salary,Upper Salary,Avg Salary(K),company_txt,Job Location,Age,job_title_sim,seniority_by_title,Degree
192,230,"Scientist/Senior Scientist, Autoimmune",4.4,"Rubius Therapeutics
4.4","Cambridge, MA","Cambridge, MA",201 - 500 ,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),-1,0,0,90,179 ,90,179,134.5,Rubius Therapeutics,MA,8,other scientist,sr,P
193,233,Staff Machine Learning Engineer,3.9,"Tapjoy
3.9","San Francisco, CA","San Francisco, CA",201 - 500 ,2007,Company - Private,Internet,Information Technology,$10 to $25 million (USD),"FLURRY, Chartboost",0,0,138,224 ,138,224,181.0,Tapjoy,CA,14,machine learning engineer,na,na
194,234,"Principal Scientist, Hematology",3.3,"Rochester Regional Health
3.3","Rochester, NY","Rochester, NY",10000+ ,2014,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1,0,0,54,115 ,54,115,84.5,Rochester Regional Health,NY,7,other scientist,sr,P
195,235,Lead Data Engineer,4.1,"Credit Sesame
4.1","Mountain View, CA","Mountain View, CA",51 - 200 ,2010,Company - Private,Internet,Information Technology,$50 to $100 million (USD),"Credit Karma, LendUp, SoFi",0,0,190,220(Employer est.),190,220,205.0,Credit Sesame,CA,11,data engineer,sr,na
196,239,Marketing Data Analyst,3.6,"San Manuel Casino
3.6","Highland, CA","Highland, CA",1001 - 5000 ,1986,Company - Private,Gambling,"Arts, Entertainment & Recreation",$100 to $500 million (USD),-1,0,0,35,62 ,35,62,48.5,San Manuel Casino,CA,35,analyst,na,M
197,240,Medical Laboratory Scientist,4.0,"Texas Health Huguley Hospital
4.0","Burleson, TX","Arlington, TX",1001 - 5000 ,1977,Hospital,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),-1,1,0,18,25 Per Hour,37,52,44.5,Texas Health Huguley Hospital,TX,44,other scientist,na,na
198,242,R&D Specialist/ Food Scientist,2.4,"Teasdale Latin Foods
2.4","Hoopeston, IL","Flower Mound, TX",501 - 1000 ,-1,Company - Private,Food & Beverage Manufacturing,Manufacturing,$100 to $500 million (USD),-1,0,0,39,66 ,39,66,52.5,Teasdale Latin Foods,IL,-1,other scientist,na,na
199,243,Senior Research Scientist-Machine Learning,2.6,"Software Engineering Institute
2.6","Pittsburgh, PA","Pittsburgh, PA",501 - 1000 ,1984,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,-1,0,0,81,167 ,81,167,124.0,Software Engineering Institute,PA,37,machine learning engineer,sr,P
200,245,Analytics Manager - Data Mart,3.5,"Central California Alliance for Health
3.5","Scotts Valley, CA","Scotts Valley, CA",501 - 1000 ,1996,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1,0,0,42,86 ,42,86,64.0,Central California Alliance for Health,CA,25,Data scientist project manager,na,na
201,246,Sr. Data Engineer - Contract-to-Hire (Java),3.0,"Pilot Flying J Travel Centers LLC
3.0","Knoxville, TN","Knoxville, TN",10000+ ,1958,Company - Private,Gas Stations,Retail,$10+ billion (USD),"TravelCenters of America, Love's Travel Stops & Country Stores, Wawa",0,0,69,127 ,69,127,98.0,Pilot Flying J Travel Centers LLC,TN,63,data engineer,sr,M
202,247,MED TECH/LAB SCIENTIST- SOUTH COASTAL LAB,3.6,"Beebe Healthcare
3.6","Millville, DE","Lewes, DE",1001 - 5000 ,1935,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1,1,0,21,34 Per Hour,43,70,56.5,Beebe Healthcare,DE,86,other scientist,na,na
203,248,Food Scientist - Developer,3.3,"Palermo's Pizza
3.3","Milwaukee, WI","Milwaukee, WI",501 - 1000 ,1964,Company - Private,Food & Beverage Manufacturing,Manufacturing,Unknown / Non-Applicable,-1,0,0,40,68 ,40,68,54.0,Palermo's Pizza,WI,57,other scientist,na,na
204,250,Staff Scientist-Downstream Process Development,2.7,"Advanced BioScience Laboratories
2.7","Rockville, MD","Rockville, MD",201 - 500 ,1961,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD),-1,0,0,49,113 ,49,113,81.0,Advanced BioScience Laboratories,MD,60,other scientist,na,P
205,251,Sr. Data Engineer,3.4,"Echo Global Logistics
3.4","Chicago, IL","Chicago, IL",1001 - 5000 ,2005,Company - Public,Transportation Management,Transportation & Logistics,$2 to $5 billion (USD),"C.H. Robinson, Total Quality Logistics, Coyote Logistics",0,0,75,140 ,75,140,107.5,Echo Global Logistics,IL,16,data engineer,sr,na
206,253,Data Scientist - Quantitative,3.8,"Truckstop.com
3.8","Chicago, IL","New Plymouth, ID",501 - 1000 ,1995,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,-1,0,0,86,139 ,86,139,112.5,Truckstop.com,IL,26,data scientist,na,M
207,254,Data Scientist,3.7,"Lockheed Martin
3.7","Herndon, VA","Bethesda, MD",10000+ ,1995,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),"Boeing, Northrop Grumman, Raytheon",0,0,66,112 ,66,112,89.0,Lockheed Martin,VA,26,data scientist,na,na
208,255,Senior Research Statistician- Data Scientist,4.8,"Acuity Insurance
4.8","Sheboygan, WI","Sheboygan, WI",1001 - 5000 ,1925,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),-1,0,0,76,125 ,76,125,100.5,Acuity Insurance,WI,96,data scientist,sr,M
209,256,"Business Data Analyst, SQL",3.8,"Fareportal
3.8","New York, NY","New York, NY",1001 - 5000 ,2002,Company - Private,Travel Agencies,Travel & Tourism,$2 to $5 billion (USD),"Expedia Group, Orbitz Worldwide, Priceline.com",0,0,44,86 ,44,86,65.0,Fareportal,NY,19,analyst,na,na
210,257,Medical Technologist / Clinical Laboratory Scientist,3.4,"Veterans Affairs, Veterans Health Administration
3.4","New Orleans, LA","Washington, DC",10000+ ,1930,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1,1,0,15,25 Per Hour,31,52,41.5,"Veterans Affairs, Veterans Health Administration",LA,91,other scientist,na,M
211,258,Data Scientist,4.3,"Credera
4.3","Dallas, TX","Dallas, TX",201 - 500 ,1999,Subsidiary or Business Segment,Consulting,Business Services,Unknown / Non-Applicable,-1,0,0,53,92 ,53,92,72.5,Credera,TX,22,data scientist,na,M
212,259,Senior Data Analyst,4.8,"KnowBe4
4.8","Clearwater, FL","Clearwater, FL",501 - 1000 ,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),-1,0,0,44,78 ,44,78,61.0,KnowBe4,FL,11,analyst,sr,M
213,260,BI & Platform Analytics Manager,3.4,"Church & Dwight
3.4","Ewing, NJ","Ewing, NJ",1001 - 5000 ,1846,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),-1,0,0,85,134 ,85,134,109.5,Church & Dwight,NJ,175,Data scientist project manager,na,M
214,262,Data Engineer,3.9,"Cogo Labs
3.9","Cambridge, MA","Cambridge, MA",51 - 200 ,2005,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,0,0,59,110 ,59,110,84.5,Cogo Labs,MA,16,data engineer,na,na
215,263,Data Scientist,3.4,"Spectrum Communications and Consulting
3.4","Chicago, IL","Chicago, IL",51 - 200 ,1992,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),-1,0,0,64,111 ,64,111,87.5,Spectrum Communications and Consulting,IL,29,data scientist,na,na
216,264,Data Analyst,3.1,"NCSOFT
3.1","San Mateo, CA","Seoul, South Korea",1001 - 5000 ,1997,Company - Public,Video Games,Media,$10+ billion (USD),"Blizzard Entertainment, Riot Games, Electronic Arts",0,0,65,120 ,65,120,92.5,NCSOFT,CA,24,analyst,na,na
217,265,Associate Data Scientist/Computer Scientist,3.2,"MITRE
3.2","McLean, VA","Bedford, MA",5001 - 10000 ,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),"Battelle, General Atomics, SAIC",0,0,60,103 ,60,103,81.5,MITRE,VA,63,data scientist,na,na
218,266,Business Intelligence Analyst / Developer,4.3,"Dayton Freight Lines, Inc.
4.3","Dayton, OH","Dayton, OH",1001 - 5000 ,1981,Company - Private,Trucking,Transportation & Logistics,Unknown / Non-Applicable,"Old Dominion Freight, Pitt Ohio Express",0,0,53,105 ,53,105,79.0,"Dayton Freight Lines, Inc.",OH,40,analyst,na,na
219,267,Lead Data Scientist,3.6,"MassMutual
3.6","Boston, MA","Springfield, MA",5001 - 10000 ,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),-1,0,0,124,204 ,124,204,164.0,MassMutual,MA,170,data scientist,sr,P
220,268,"Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)",3.9,"Genentech
3.9","South San Francisco, CA","South San Francisco, CA",10000+ ,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,0,0,131,207 ,131,207,169.0,Genentech,CA,45,data scientist,sr,P
221,269,Senior Data Scientist,3.8,"Juniper Networks
3.8","Cupertino, CA","Sunnyvale, CA",5001 - 10000 ,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),-1,0,0,110,174 ,110,174,142.0,Juniper Networks,CA,25,data scientist,sr,P
222,270,Data Analyst,2.8,"Community Action Partnership of San Luis Obispo
2.8","Parlier, CA","San Luis Obispo, CA",501 - 1000 ,-1,Nonprofit Organization,Social Assistance,Non-Profit,$50 to $100 million (USD),-1,0,0,33,62 ,33,62,47.5,Community Action Partnership of San Luis Obispo,CA,-1,analyst,na,na
223,273,Pricipal Scientist Molecular and cellular biologist,3.7,"Takeda Pharmaceuticals
3.7","Boston, MA","OSAKA, Japan",10000+ ,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,52,101 ,52,101,76.5,Takeda Pharmaceuticals,MA,240,other scientist,na,P
224,274,Data Analyst,3.4,"TrueAccord
3.4","San Francisco, CA","San Francisco, CA",51 - 200 ,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,48,90 ,48,90,69.0,TrueAccord,CA,8,analyst,na,na
225,275,Data Analyst,4.0,"DRB Systems
4.0","Meridian, ID","Akron, OH",201 - 500 ,1984,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),-1,0,0,34,64 ,34,64,49.0,DRB Systems,ID,37,analyst,na,na
226,276,Staff Data Scientist,3.5,"Western Digital
3.5","San Jose, CA","San Jose, CA",10000+ ,1970,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Seagate Technology, Toshiba",0,0,132,211 ,132,211,171.5,Western Digital,CA,51,data scientist,na,M
227,277,"Data Scientist (Actuary, FSA or ASA)",3.8,"Legal & General America
3.8","Frederick, MD","Frederick, MD",501 - 1000 ,1981,Company - Private,Insurance Carriers,Insurance,$500 million to $1 billion (USD),-1,0,0,81,133 ,81,133,107.0,Legal & General America,MD,40,data scientist,na,M
228,278,System and Data Analyst,3.7,"Corcentric
3.7","Cherry Hill, NJ","Cherry Hill, NJ",201 - 500 ,1996,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,42,76 ,42,76,59.0,Corcentric,NJ,25,analyst,na,M
229,281,Data Scientist,3.5,"U.Group
3.5","Indianapolis, IN","Arlington, VA",201 - 500 ,2019,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,0,0,66,111 ,66,111,88.5,U.Group,IN,2,data scientist,na,M
230,282,Data Engineer 5 - Contract (Remote),4.2,"The Church of Jesus Christ of Latter-day Saints
4.2","Riverton, UT","Salt Lake City, UT",10000+ ,-1,Nonprofit Organization,Religious Organizations,Non-Profit,Unknown / Non-Applicable,-1,0,0,74,140 ,74,140,107.0,The Church of Jesus Christ of Latter-day Saints,UT,-1,data engineer,na,M
231,284,Digital Health Data Scientist,4.0,"Pfizer
4.0","Cambridge, MA","New York, NY",10000+ ,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,0,0,63,110 ,63,110,86.5,Pfizer,MA,172,data scientist,na,na
232,285,Data Scientist,4.3,"SMC 3
4.3","Louisville, KY","Peachtree City, GA",51 - 200 ,1935,Nonprofit Organization,Logistics & Supply Chain,Transportation & Logistics,$10 to $25 million (USD),-1,0,0,63,105 ,63,105,84.0,SMC 3,KY,86,data scientist,na,M
233,288,Data & Analytics Consultant (NYC),4.7,"Systems Evolution Inc.
4.7","New York, NY","Cincinnati, OH",201 - 500 ,1992,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1,0,0,91,138 ,91,138,114.5,Systems Evolution Inc.,NY,29,data analitics,na,M
234,289,Senior Scientist - Neuroscience,3.5,"Sunovion
3.5","Marlborough, MA","Marlborough, MA",1001 - 5000 ,2010,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),"Shire, GlaxoSmithKline, Allergan",0,0,100,190 ,100,190,145.0,Sunovion,MA,11,other scientist,sr,P
235,290,Data Engineer,4.4,"Eventbrite
4.4","Nashville, TN","San Francisco, CA",1001 - 5000 ,2006,Company - Public,Internet,Information Technology,$100 to $500 million (USD),"See Tickets, TicketWeb, Vendini",0,0,62,114 ,62,114,88.0,Eventbrite,TN,15,data engineer,na,na
236,291,Big Data Engineer - Chicago - Future Opportunity,4.1,"Centro
4.1","Chicago, IL","Chicago, IL",501 - 1000 ,2001,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"Mediaocean, The Trade Desk, MediaMath",0,0,71,129 ,71,129,100.0,Centro,IL,20,data engineer,na,na
237,292,Senior Data Analyst,2.9,"National Student Clearinghouse
2.9","Herndon, VA","Herndon, VA",201 - 500 ,1993,Nonprofit Organization,Colleges & Universities,Education,$25 to $50 million (USD),"Ellucian, Parchment, College Board",0,0,43,80 ,43,80,61.5,National Student Clearinghouse,VA,28,analyst,sr,M
238,293,Data Scientist,2.5,"comScore
2.5","Portland, OR","Reston, VA",1001 - 5000 ,1999,Company - Public,Advertising & Marketing,Business Services,$1 to $2 billion (USD),"Nielsen, Hitwise, Coremetrics",0,0,74,119 ,74,119,96.5,comScore,OR,22,data scientist,na,na
239,295,Survey Data Analyst,4.2,"SullivanCotter
4.2","Minneapolis, MN","Chicago, IL",201 - 500 ,1992,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,"Mercer, Korn Ferry, Integrated Healthcare Strategies",0,0,55,97 ,55,97,76.0,SullivanCotter,MN,29,analyst,na,na
240,296,Data Scientist,3.9,"NPD
3.9","Port Washington, NY","Port Washington, NY",1001 - 5000 ,1966,Company - Private,Research & Development,Business Services,$100 to $500 million (USD),-1,0,0,15,16(Employer est.),15,16,15.5,NPD,NY,55,data scientist,na,na
241,299,Data Scientist,4.3,"Bakery Agency
4.3","Austin, TX","Austin, TX",Jan-50,2010,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,0,0,61,106 ,61,106,83.5,Bakery Agency,TX,11,data scientist,na,na
242,300,"Risk and Analytics IT, Data Scientist",2.7,"State of Wisconsin Investment Board
2.7","Madison, WI","Madison, WI",51 - 200 ,1951,Government,Investment Banking & Asset Management,Finance,$50 to $100 million (USD),-1,0,0,91,149 ,91,149,120.0,State of Wisconsin Investment Board,WI,70,data scientist,na,na
243,302,Data Scientist,3.9,"Genentech
3.9","South San Francisco, CA","South San Francisco, CA",10000+ ,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,0,0,127,199 ,127,199,163.0,Genentech,CA,45,data scientist,na,M
244,305,Lead Health Data Analyst - Front End,3.4,"Blue Cross & Blue Shield of Rhode Island
3.4","Providence, RI","Providence, RI",501 - 1000 ,1939,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,UnitedHealth Group,0,0,74,126 ,74,126,100.0,Blue Cross & Blue Shield of Rhode Island,RI,82,analyst,sr,na
245,306,Research Scientist,3.8,"Boys Town
3.8","Omaha, NE","Omaha, NE",1001 - 5000 ,1917,Nonprofit Organization,Social Assistance,Non-Profit,Unknown / Non-Applicable,"Boys & Girls Clubs of America, AdoptUSKids, Foster Care to Success",0,0,33,72 ,33,72,52.5,Boys Town,NE,104,other scientist,na,P
246,307,Medical Lab Scientist,3.6,"Tower Health
3.6","West Reading, PA","Reading, PA",5001 - 10000 ,2017,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,1,0,17,24 Per Hour,35,49,42.0,Tower Health,PA,4,other scientist,na,na
247,308,Junior Data Analyst,3.3,"The HSC Health Care System
3.3","Washington, DC","Washington, DC",501 - 1000 ,1883,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,0,0,37,63 ,37,63,50.0,The HSC Health Care System,DC,138,analyst,jr,M
248,309,SQL Data Engineer,3.4,"Pro-Sphere Tek
3.4","Austin, TX","Alexandria, VA",201 - 500 ,2006,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1,0,0,67,119 ,67,119,93.0,Pro-Sphere Tek,TX,15,data engineer,na,M
249,310,Data Scientist,3.0,"Ameritas Life Insurance Corp
3.0","Cincinnati, OH","Lincoln, NE",1001 - 5000 ,1887,Company - Private,Insurance Agencies & Brokerages,Insurance,$2 to $5 billion (USD),-1,0,0,72,117 ,72,117,94.5,Ameritas Life Insurance Corp,OH,134,data scientist,na,na
250,311,Senior Data Scientist,4.0,"Autodesk
4.0","San Francisco, CA","San Rafael, CA",5001 - 10000 ,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),-1,0,0,116,185 ,116,185,150.5,Autodesk,CA,39,data scientist,sr,P
251,312,Data Scientist,3.7,"Genworth
3.7","Raleigh, NC","Richmond, VA",1001 - 5000 ,2004,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),"MetLife, Northwestern Mutual, Prudential",0,0,78,126 ,78,126,102.0,Genworth,NC,17,data scientist,na,M
252,313,"Scientist, Analytical Development",4.4,"Rubius Therapeutics
4.4","Cambridge, MA","Cambridge, MA",201 - 500 ,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),-1,0,0,42,82 ,42,82,62.0,Rubius Therapeutics,MA,8,other scientist,na,P
253,314,Analytics Manager,4.3,"OneMagnify
4.3","Dearborn, MI","Detroit, MI",201 - 500 ,1967,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,0,0,59,116 ,59,116,87.5,OneMagnify,MI,54,Data scientist project manager,na,na
254,316,Clinical Data Scientist,4.0,"Pfizer
4.0","Groton, CT","New York, NY",10000+ ,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,0,0,63,105 ,63,105,84.0,Pfizer,CT,172,data scientist,na,M
255,317,Data Scientist,4.0,"Novetta
4.0","Herndon, VA","Mc Lean, VA",501 - 1000 ,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton",0,0,109,177 ,109,177,143.0,Novetta,VA,9,data scientist,na,na
256,318,"Sr. Data Scientist, Cyber-Security LT Contract",3.2,"Numeric, LLC
3.2","Phila, PA","Chadds Ford, PA",Jan-50,-1,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),-1,0,0,116,194 ,116,194,155.0,"Numeric, LLC",PA,-1,data scientist,sr,M
257,319,Data Engineer,4.2,"IZEA
4.2","Winter Park, FL","Winter Park, FL",51 - 200 ,2006,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),"Linqia, Collective Bias",0,0,48,95 ,48,95,71.5,IZEA,FL,15,data engineer,na,na
258,320,Data Scientist,3.9,"Trace Data
3.9","Oakland, CA","Santa Ana, CA",51 - 200 ,2000,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),-1,0,0,83,133 ,83,133,108.0,Trace Data,CA,21,data scientist,na,M
259,322,Sr. Scientist - Digital & Image Analysis/Computational Pathology,3.7,"Takeda Pharmaceuticals
3.7","San Diego, CA","OSAKA, Japan",10000+ ,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,105,198 ,105,198,151.5,Takeda Pharmaceuticals,CA,240,other scientist,sr,M
260,323,Digital Marketing & ECommerce Data Analyst,3.6,"Vionic Group
3.6","San Rafael, CA","San Rafael, CA",51 - 200 ,2006,Subsidiary or Business Segment,"Department, Clothing, & Shoe Stores",Retail,$100 to $500 million (USD),-1,0,0,31,72 ,31,72,51.5,Vionic Group,CA,15,analyst,na,na
261,324,Principal Scientist - Immunologist,3.7,"Takeda Pharmaceuticals
3.7","Boston, MA","OSAKA, Japan",10000+ ,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,98,182 ,98,182,140.0,Takeda Pharmaceuticals,MA,240,other scientist,sr,M
262,325,Senior Data Analyst,2.8,"Dodge Data & Analytics
2.8","Hamilton, NJ","Hamilton, NJ",201 - 500 ,2014,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,0,55,100 ,55,100,77.5,Dodge Data & Analytics,NJ,7,analyst,sr,na
263,326,Insurance Financial Data Analyst,4.2,"Clearwater Analytics
4.2","Boise, ID","Boise, ID",501 - 1000 ,2004,Company - Private,Investment Banking & Asset Management,Finance,$50 to $100 million (USD),-1,0,0,45,82 ,45,82,63.5,Clearwater Analytics,ID,17,analyst,na,na
264,328,Data Scientist,4.0,"Tekvalley, Corp.
4.0","San Francisco, CA","Pleasanton, CA",Jan-50,-1,Company - Private,IT Services,Information Technology,Less than $1 million (USD),-1,0,0,83,135 ,83,135,109.0,"Tekvalley, Corp.",CA,-1,data scientist,na,na
265,330,Data Scientist,3.5,"BWX Technologies
3.5","Oak Ridge, TN","Lynchburg, VA",5001 - 10000 ,1850,Company - Public,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),-1,0,0,70,122 ,70,122,96.0,BWX Technologies,TN,171,data scientist,na,M
266,331,Principal Data Scientist with over 10 years experience,-1.0,CA-One Tech Cloud,"San Francisco, CA","Fremont, CA",51 - 200 ,2017,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),-1,0,1,Employer Provided Salary:200,250,200,250,225.0,CA-One Tech Clou,CA,4,data scientist,sr,na
267,332,Data Engineer,3.2,"PennyMac
3.2","Agoura Hills, CA","Westlake Village, CA",1001 - 5000 ,2008,Company - Public,Lending,Finance,$500 million to $1 billion (USD),"Nationstar Mortgage, Caliber Funding, Quicken Loans",0,0,70,132 ,70,132,101.0,PennyMac,CA,13,data engineer,na,na
268,333,Senior Data Scientist,3.3,"Plymouth Rock Assurance
3.3","Woodbridge, NJ","Boston, MA",1001 - 5000 ,1982,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),"Arbella Insurance, Safety Insurance",0,0,73,124 ,73,124,98.5,Plymouth Rock Assurance,NJ,39,data scientist,sr,M
269,334,Data Engineer I - Azure,3.9,"Vermeer
3.9","Pella, IA","Pella, IA",1001 - 5000 ,1948,Company - Private,Industrial Manufacturing,Manufacturing,$1 to $2 billion (USD),"Caterpillar, John Deere, CNH Industrial",0,0,54,101 ,54,101,77.5,Vermeer,IA,73,data engineer,na,na
270,335,"Sr. Scientist, Quantitative Translational Sciences",3.7,"Takeda Pharmaceuticals
3.7","Boston, MA","OSAKA, Japan",10000+ ,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,117,206 ,117,206,161.5,Takeda Pharmaceuticals,MA,240,other scientist,sr,M
271,337,MED TECH/LAB SCIENTIST - LABORATORY,3.6,"Beebe Healthcare
3.6","Lewes, DE","Lewes, DE",1001 - 5000 ,1935,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1,1,0,21,34 Per Hour,43,70,56.5,Beebe Healthcare,DE,86,other scientist,na,na
272,339,Sr. Data Scientist II,3.4,"Argo Group US
3.4","New York, NY","Hamilton, Bermuda",1001 - 5000 ,1948,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD),-1,0,0,111,183 ,111,183,147.0,Argo Group US,NY,73,data scientist,sr,na
273,341,Data Scientist,3.5,"L&T Infotech
3.5","San Ramon, CA","Mumbai, India",10000+ ,1997,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,"Infosys, Accenture, Capgemini",0,0,68,112 ,68,112,90.0,L&T Infotech,CA,24,data scientist,na,na
274,342,Information Security Data Analyst,4.3,"OceanFirst Financial
4.3","Red Bank, NJ","Toms River, NJ",501 - 1000 ,1902,Company - Public,Banks & Credit Unions,Finance,$5 to $10 billion (USD),-1,0,0,42,74 ,42,74,58.0,OceanFirst Financial,NJ,119,analyst,na,na
275,344,Excel / VBA / SQL Data Analyst,4.1,"Associated Electric Cooperative
4.1","Springfield, MO","Springfield, MO",501 - 1000 ,1961,Company - Private,Energy,"Oil, Gas, Energy & Utilities",$1 to $2 billion (USD),-1,0,0,44,78 ,44,78,61.0,Associated Electric Cooperative,MO,60,analyst,na,M
276,346,Machine Learning Research Scientist,2.6,"Software Engineering Institute
2.6","Pittsburgh, PA","Pittsburgh, PA",501 - 1000 ,1984,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,-1,0,0,81,159 ,81,159,120.0,Software Engineering Institute,PA,37,machine learning engineer,na,P
277,347,Data Scientist,3.6,"Sotheby's
3.6","New York, NY","New York, NY",1001 - 5000 ,1744,Company - Public,Auctions & Galleries,Retail,$500 million to $1 billion (USD),-1,0,0,95,161 ,95,161,128.0,Sotheby's,NY,277,data scientist,na,na
278,348,Data Scientist,3.5,"First Tech Federal Credit Union
3.5","Hillsboro, OR","San Jose, CA",1001 - 5000 ,1952,Company - Private,Banks & Credit Unions,Finance,$100 to $500 million (USD),-1,0,0,75,124 ,75,124,99.5,First Tech Federal Credit Union,OR,69,data scientist,na,na
279,349,Data Scientist,3.6,"Amrock
3.6","Detroit, MI","Detroit, MI",1001 - 5000 ,1997,Company - Private,Real Estate,Real Estate,$500 million to $1 billion (USD),-1,0,0,72,120 ,72,120,96.0,Amrock,MI,24,data scientist,na,M
280,350,Data Scientist,2.3,"Vanda Pharmaceuticals
2.3","Washington, DC","Washington, DC",201 - 500 ,2003,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),-1,0,0,76,126 ,76,126,101.0,Vanda Pharmaceuticals,DC,18,data scientist,na,M
281,351,Senior Data Scientist,3.9,"Zest AI
3.9","Burbank, CA","Burbank, CA",51 - 200 ,2009,Company - Private,Financial Analytics & Research,Finance,$50 to $100 million (USD),-1,0,0,114,182 ,114,182,148.0,Zest AI,CA,12,data scientist,sr,M
282,352,"Data Scientist, Senior",4.0,"Novetta
4.0","Fort Belvoir, VA","Mc Lean, VA",501 - 1000 ,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton",0,0,108,176 ,108,176,142.0,Novetta,VA,9,data scientist,sr,na
283,353,Senior Data Scientist,4.1,"CK-12 Foundation
4.1","Palo Alto, CA","Palo Alto, CA",Jan-50,2007,Company - Private,K-12 Education,Education,Unknown / Non-Applicable,-1,0,0,130,208 ,130,208,169.0,CK-12 Foundation,CA,14,data scientist,sr,M
